level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	41	1	1	6	713	507	12	31	93.269279	了
5	1	41	1	1	7	728	512	3	10	91.548386	!
2	1	42	0	0	0	74	543	15	6	-1	
3	1	42	1	0	0	74	543	15	6	-1	
4	1	42	1	1	0	74	543	15	6	-1	
5	1	42	1	1	1	74	543	15	6	34.756203	OG
2	1	43	0	0	0	568	535	166	17	-1	
3	1	43	1	0	0	568	535	166	17	-1	
4	1	43	1	1	0	568	535	166	17	-1	
5	1	43	1	1	1	568	535	12	17	96.692207	你
5	1	43	1	1	2	593	531	20	31	74.295731	还
5	1	43	1	1	3	612	535	16	17	96.879128	在
5	1	43	1	1	4	627	531	17	31	96.959869	对
5	1	43	1	1	5	643	531	18	31	90.588745	着
5	1	43	1	1	6	660	531	40	31	90.358368	镜子
5	1	43	1	1	7	708	531	19	31	87.566475	练习
5	1	43	1	1	8	726	536	8	14	92.425613	?
2	1	44	0	0	0	66	562	21	11	-1	
3	1	44	1	0	0	66	562	21	11	-1	
4	1	44	1	1	0	66	562	21	11	-1	
5	1	44	1	1	1	66	562	21	11	43.878521	api
2	1	45	0	0	0	568	559	175	18	-1	
3	1	45	1	0	0	568	559	175	18	-1	
4	1	45	1	1	0	568	559	175	18	-1	
5	1	45	1	1	1	568	559	26	17	96.731247	来
5	1	45	1	1	2	593	555	16	31	93.232376	四
5	1	45	1	1	3	608	559	22	17	92.827431	海
5	1	45	1	1	4	629	555	17	31	86.680710	线
5	1	45	1	1	5	645	555	16	31	96.908203	上
5	1	45	1	1	6	660	555	40	31	92.701347	面试
5	1	45	1	1	7	699	555	19	31	84.138802	刷
5	1	45	1	1	8	717	559	18	18	74.084969	题
5	1	45	1	1	9	734	555	13	31	91.999390	班
2	1	46	0	0	0	568	582	235	19	-1	
3	1	46	1	0	0	568	582	235	19	-1	
4	1	46	1	1	0	568	582	235	19	-1	
5	1	46	1	1	1	568	583	40	17	96.383141	实战
5	1	46	1	1	2	612	583	26	17	96.191582	讲师
5	1	46	1	1	3	645	583	35	17	92.672066	-汤圆
5	1	46	1	1	4	690	578	16	32	91.962120	，
5	1	46	1	1	5	706	582	10	18	93.212082	每
5	1	46	1	1	6	724	583	16	17	92.950813	天
5	1	46	1	1	7	740	578	20	32	0.000000	带
5	1	46	1	1	8	764	584	12	15	92.334778	你
5	1	46	1	1	9	780	583	14	18	90.031845	刷
5	1	46	1	1	10	794	578	12	32	91.307533	题
2	1	47	0	0	0	569	606	89	17	-1	
3	1	47	1	0	0	569	606	89	17	-1	
4	1	47	1	1	0	569	606	89	17	-1	
5	1	47	1	1	1	569	607	6	14	95.614197	1
5	1	47	1	1	2	581	606	14	16	96.732567	对
5	1	47	1	1	3	597	607	5	14	95.864944	1
5	1	47	1	1	4	610	606	20	17	93.123665	点
5	1	47	1	1	5	630	606	18	17	92.909096	评
5	1	47	1	1	6	647	602	14	30	89.039314	指
2	1	48	0	0	0	693	606	193	17	-1	
3	1	48	1	0	0	693	606	193	17	-1	
4	1	48	1	1	0	693	606	193	17	-1	
5	1	48	1	1	1	693	606	35	17	93.426888	打磨
5	1	48	1	1	2	735	602	36	31	93.245628	思路
5	1	48	1	1	3	770	602	16	31	92.921684	，
5	1	48	1	1	4	785	606	19	16	93.126534	找
5	1	48	1	1	5	803	602	18	31	96.388435	到
5	1	48	1	1	6	820	602	40	31	94.547783	考试
5	1	48	1	1	7	859	602	27	31	96.435715	状态
2	1	49	0	0	0	180	628	161	19	-1	
3	1	49	1	0	0	180	628	161	19	-1	
4	1	49	1	1	0	180	628	161	19	-1	
5	1	49	1	1	1	180	628	76	19	33.522789	|
