level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	15	1	1	6	1166	412	87	18	17.604156	BCONZCIRES
5	1	15	1	1	7	1260	417	8	9	92.417603	+
5	1	15	1	1	8	1280	415	125	15	46.379631	LoopDetector.
5	1	15	1	1	9	1417	411	49	18	2.362991	HSX=
5	1	15	1	1	10	1480	412	76	18	23.838562	[ASE
5	1	15	1	1	11	1574	412	51	17	38.065052	SB
4	1	15	1	2	0	745	436	882	43	-1	
5	1	15	1	2	1	745	437	86	18	0.000000	S+S8U
5	1	15	1	2	2	828	433	12	31	80.615532	,
5	1	15	1	2	3	849	437	42	18	57.542439	G3
5	1	15	1	2	4	903	433	87	31	0.000000	PscSise,
5	1	15	1	2	5	1003	437	17	16	57.713322	ak
5	1	15	1	2	6	1027	439	16	13	93.355728	12
5	1	15	1	2	7	1049	437	86	18	20.082039	HAA
5	1	15	1	2	8	1137	436	81	43	13.955612	See
5	1	15	1	2	9	1277	437	198	18	0.000000	ERNE,
5	1	15	1	2	10	1488	437	139	17	19.506416	Alisa
4	1	15	1	3	0	745	462	418	18	-1	
5	1	15	1	3	1	745	462	23	17	56.862877	Jk,
5	1	15	1	3	2	780	462	68	18	0.000000	BSCNE]
5	1	15	1	3	3	861	462	135	18	0.000000	GIcAVNa))
5	1	15	1	3	4	1008	462	109	18	0.000000	ROMA,
5	1	15	1	3	5	1130	462	33	17	29.945374	Ais
2	1	16	0	0	0	725	501	852	19	-1	
3	1	16	1	0	0	725	501	852	19	-1	
4	1	16	1	1	0	725	501	852	19	-1	
5	1	16	1	1	1	725	502	122	17	0.000000	BRRUUEB
5	1	16	1	1	2	841	497	22	32	40.494083	IR
5	1	16	1	1	3	876	502	41	17	32.577965	[HUE
5	1	16	1	1	4	923	503	31	14	91.767654	shift
5	1	16	1	1	5	960	501	34	18	13.184280	ASS
5	1	16	1	1	6	1001	504	7	13	82.030609	5
5	1	16	1	1	7	1014	501	58	18	49.465485	SCE]
5	1	16	1	1	8	1086	497	84	32	0.000000	AUERSIMT
5	1	16	1	1	9	1195	501	62	18	0.000000	EES
5	1	16	1	1	10	1265	507	8	9	92.967674	+
5	1	16	1	1	11	1280	502	35	17	29.921280	SES
5	1	16	1	1	12	1322	507	8	9	94.303665	+
5	1	16	1	1	13	1338	501	50	18	37.574196	BES
5	1	16	1	1	14	1396	507	8	9	91.892471	+
5	1	16	1	1	15	1411	502	102	18	0.000000	TEESTUATID
5	1	16	1	1	16	1534	497	43	32	40.348480	ER?
2	1	17	0	0	0	815	461	385	6	-1	
3	1	17	1	0	0	815	461	385	6	-1	
4	1	17	1	1	0	815	461	385	6	-1	
5	1	17	1	1	1	815	461	385	6	95.000000	 
2	1	18	0	0	0	759	596	845	18	-1	
3	1	18	1	0	0	759	596	845	18	-1	
4	1	18	1	1	0	759	596	845	18	-1	
5	1	18	1	1	1	759	599	14	15	5.569443	@
5	1	18	1	1	2	806	598	10	13	25.707260	4
5	1	18	1	1	3	821	596	124	17	0.000000	SsceamEE
5	1	18	1	1	4	1488	598	71	12	55.576839	4343-17
5	1	18	1	1	5	1570	585	11	40	55.576839	|
5	1	18	1	1	6	1590	597	14	14	39.383583	7
2	1	19	0	0	0	735	680	321	16	-1	
3	1	19	1	0	0	735	680	321	16	-1	
4	1	19	1	1	0	735	680	321	16	-1	
5	1	19	1	1	1	735	681	54	14	61.340096	Oe
5	1	19	1	1	2	815	681	14	14	52.371754	&
5	1	19	1	1	3	854	680	16	15	58.456245	OH
5	1	19	1	1	4	894	681	16	15	26.577469	GD
5	1	19	1	1	5	919	676	11	29	24.227058	|
5	1	19	1	1	6	949	681	30	15	55.188820	i
5	1	19	1	1	7	989	676	13	29	34.920258	<$
5	1	19	1	1	8	1011	680	45	16	64.364014	367.70
2	1	20	0	0	0	740	745	495	16	-1	
3	1	20	1	0	0	740	745	495	16	-1	
4	1	20	1	1	0	740	745	495	16	-1	
5	1	20	1	1	1	740	746	37	15	37.611351	FES,
5	1	20	1	1	2	789	746	80	15	0.000000	UPB
5	1	20	1	1	3	847	741	20	29	0.000000	IR
5	1	20	1	1	4	880	741	35	29	61.030495	[HAE
5	1	20	1	1	5	923	747	30	12	96.133446	shift
5	1	20	1	1	6	958	746	31	15	19.076385	AES
5	1	20	1	1	7	997	748	5	11	87.659981	5
5	1	20	1	1	8	1008	745	54	16	10.479729	POC]
5	1	20	1	1	9	1074	746	161	15	0.000000	BORNE
2	1	21	0	0	0	1323	947	182	17	-1	
3	1	21	1	0	0	1323	947	182	17	-1	
4	1	21	1	1	0	1323	947	182	17	-1	
5	1	21	1	1	1	1323	947	145	17	92.318054	DeepSeek-V4-Pro
5	1	21	1	1	2	1474	947	31	15	76.164711	IE...
2	1	22	0	0	0	1728	120	15	13	-1	
3	1	22	1	0	0	1728	120	15	13	-1	
4	1	22	1	1	0	1728	120	15	13	-1	
5	1	22	1	1	1	1728	120	15	13	60.290504	R
2	1	23	0	0	0	1668	1051	114	19	-1	
3	1	23	1	0	0	1668	1051	114	19	-1	
4	1	23	1	1	0	1668	1051	114	19	-1	
5	1	23	1	1	1	1668	1051	77	19	38.766396	mop
